,ENTREZID,SYMBOL
1189,23025,UNC13A
1190,23030,KDM4B
1191,23035,PHLPP2
1192,23039,XPO7
1193,23047,PDS5B
1194,2305,FOXM1
1195,23051,ZHX3
1196,23059,CLUAP1
1197,23061,TBC1D9B
1198,23063,WAPL
1199,23064,SETX
1200,23065,EMC1
1201,23067,SETD1B
1202,23075,SWAP70
1203,23085,ERC1
1204,2309,FOXO3
1205,23092,ARHGAP26
1206,23095,KIF1B
1207,23096,IQSEC2
1208,23098,SARM1
1209,23099,ZBTB43
1210,231,AKR1B1
1211,23102,TBC1D2B
1212,23105,FSTL4
1213,23113,CUL9
1214,23122,CLASP2
1215,23131,GPATCH8
1216,23136,EPB41L3
1217,23137,SMC5
1218,23138,N4BP3
1219,23139,MAST2
1220,23140,ZZEF1
1221,23141,ANKLE2
1222,23144,ZC3H3
1223,23148,NACAD
1224,23150,FRMD4B
1225,2316,FLNA
1226,23162,MAPK8IP3
1227,23164,MPRIP
1228,23167,EFR3A
1229,23179,RGL1
1230,2318,FLNC
1231,23180,RFTN1
1232,23181,DIP2A
1233,23185,LARP4B
1234,23192,ATG4B
1235,23195,MDN1
1236,23197,FAF2
1237,23198,PSME4
1238,23203,PMPCA
1239,23204,ARL6IP1
1240,23210,JMJD6
1241,23211,ZC3H4
1242,23214,XPO6
1243,23217,ZFR2
1244,2322,FLT3
1245,23224,SYNE2
1246,23233,EXOC6B
1247,23235,SIK2
1248,23239,PHLPP1
1249,23240,TMEM131L
1250,23241,PACS2
1251,23246,BOP1
1252,23247,KATNIP
1253,23250,ATP11A
1254,23253,ANKRD12
1255,23268,DNMBP
1256,23269,MGA
1257,23275,POFUT2
1258,23276,KLHL18
1259,23287,AGTPBP1
1260,23291,FBXW11
1261,23293,SMG6
1262,23295,MGRN1
1263,23303,KIF13B
1264,23307,FKBP15
1265,23313,KIAA0930
1266,23315,SLC9A8
1267,23316,CUX2
1268,2332,FMR1
1269,23321,TRIM2
1270,23322,RPGRIP1L
1271,23331,TTC28
1272,23332,CLASP1
1273,23333,DPY19L1
1274,23334,SZT2
1275,23335,WDR7
1276,23347,SMCHD1
1277,23350,U2SURP
1278,23352,UBR4
1279,23354,HAUS5
1280,23358,USP24
1281,23359,ENTREP2
1282,23362,PSD3
1283,23365,ARHGEF12
1284,23373,CRTC1
1285,23376,UFL1
1286,23378,RRP8
1287,23383,MAU2
1288,23384,SPECC1L
1289,23389,MED13L
1290,23394,ADNP
1291,23396,PIP5K1C
1292,23399,CTDNEP1
1293,23401,FRAT2
1294,23406,COTL1
1295,23408,SIRT5
1296,23410,SIRT3
1297,23411,SIRT1
1298,23412,COMMD3
1299,23414,ZFPM2
1300,23417,MLYCD
1301,23418,CRB1
1302,23424,TDRD7
1303,23426,GRIP1
1304,23431,AP4E1
1305,23451,SF3B1
1306,23461,ABCA5
1307,23462,HEY1
1308,23466,CBX6
1309,23468,CBX5
1310,23469,PHF3
1311,23471,TRAM1
1312,23476,BRD4
1313,23480,SEC61G
1314,23484,LEPROTL1
1315,23492,CBX7
1316,23499,MACF1
1317,23500,DAAM2
1318,23506,BICRAL
1319,23507,LRRC8B
1320,23508,TTC9
1321,23509,POFUT1
1322,23512,SUZ12
1323,23513,SCRIB
1324,23521,RPL13A
1325,23523,CABIN1
1326,23527,ACAP2
1327,23531,MMD
1328,2354,FOSB
1329,23543,RBFOX2
1330,23545,ATP6V0A2
1331,23546,SYNGR4
1332,23548,TTC33
1333,23560,GTPBP4
1334,23567,ZNF346
1335,23569,PADI4
1336,23580,CDC42EP4
1337,23590,PDSS1
1338,23596,OPN3
1339,23597,ACOT9
1340,23604,DAPK2
1341,23607,CD2AP
1342,23612,PHLDA3
1343,23626,SPO11
1344,23636,NUP62
1345,23639,DNAAF11
1346,23642,SNHG1
1347,23645,PPP1R15A
1348,23647,ARFIP2
1349,23649,POLA2
1350,23657,SLC7A11
1351,23670,CEMIP2
1352,23673,STX12
1353,23710,GABARAPL1
1354,23741,EID1
1355,23743,BHMT2
1356,23760,PITPNB
1357,23786,BCL2L13
1358,24137,KIF4A
1359,24138,IFIT5
1360,24140,FTSJ1
1361,24144,TFIP11
1362,24145,PANX1
1363,24148,PRPF6
1364,24149,ZNF318
1365,245929,DEFB115
1366,245972,ATP6V0D2
1367,246184,CDC26
1368,2483,FRG1
1369,252839,TMEM9
1370,253314,EIF4E1B
1371,253430,IPMK
1372,253558,LCLAT1
1373,253714,MMS22L
1374,253943,YTHDF3
1375,253959,RALGAPA1
1376,254048,UBN2
1377,254100,ZNRD2-DT
1378,254128,NIFK-AS1
1379,254158,CXorf58
1380,254170,FBXO33
1381,2542,SLC37A4
1382,254240,BPIFC
1383,254427,PROSER2
1384,254439,C11orf86
1385,2548,GAA
1386,254863,TMEM256
1387,2549,GAB1
1388,254956,MORN5
1389,255082,CASC2
1390,255220,TXNDC8
1391,255252,LRRC57
1392,2553,GABPB1
1393,255426,RASGEF1C
1394,255480,TBX5-AS1
1395,255512,TOLLIP-DT
1396,255812,SDHAP1
1397,256126,SYCE2
1398,256223,CDRT15L2
1399,256302,NATD1
1400,256356,GK5
1401,256435,ST6GALNAC3
1402,256714,MAP7D2
1403,256880,H2AZ1-DT
1404,257,ALX3
1405,257019,FRMD3
1406,257062,CATSPERD
1407,257068,PLCXD2
1408,257236,CCDC96
1409,257240,KLHL34
1410,257358,LINC01366
1411,257396,MOCS2-DT
1412,25759,SHC2
1413,25771,TBC1D22A
1414,25776,CBY1
1415,25778,DSTYK
1416,25792,CIZ1
1417,25793,FBXO7
1418,25799,ZNF324
1419,2580,GAK
1420,25800,SLC39A6
1421,25804,LSM4
1422,25812,POM121L1P
1423,25813,SAMM50
1424,25817,TAFA5
1425,25819,NOCT
1426,2582,GALE
1427,25820,ARIH1
1428,25825,BACE2
1429,25829,TMEM184B
1430,25830,SULT4A1
1431,25836,NIPBL
1432,25841,ABTB2
1433,25845,SLC9A3-OT1
1434,25847,ANAPC13
1435,25851,TECPR1
1436,25861,WHRN
1437,2588,GALNS
1438,25880,TMEM186
1439,25884,CHRDL2
1440,25886,POC1A
1441,2589,GALNT1
1442,25896,INTS7
1443,25897,RNF19A
1444,25898,RCHY1
1445,259,AMBP
1446,25906,ANAPC15
1447,25907,TMEM158
1448,25909,AHCTF1
1449,25911,DPCD
1450,25914,RTTN
1451,25921,ZDHHC5
1452,25925,ZNF521
1453,25926,NOL11
1454,259282,BOD1L1
1455,2593,GAMT
1456,25930,PTPN23
1457,259307,IL4I1
1458,25936,NSL1
1459,25948,KBTBD2
1460,2595,GANC
1461,25950,RWDD3
1462,25966,C2CD2
1463,25972,UNC50
1464,25973,PARS2
1465,25977,NECAP1
1466,25989,ULK3
1467,25992,SNED1
1468,26002,MOXD1
1469,26012,NSMF
1470,26018,LRIG1
1471,26024,PTCD1
1472,26034,IPCEF1
1473,26039,SS18L1
1474,260425,MAGI3
1475,26046,LTN1
1476,26048,ZNF500
1477,26054,SENP6
1478,26060,APPL1
1479,26073,POLDIP2
1480,26077,GNAO1-AS1
1481,26091,HERC4
1482,26118,WSB1
1483,26119,LDLRAP1
1484,26135,SERBP1
1485,26146,TRAF3IP1
1486,26147,PHF19
1487,26150,RIBC2
1488,26151,NAT9
1489,26152,ZNF337
1490,26153,KIF26A
1491,26160,IFT172
1492,26164,MTG2
1493,26168,SENP3
1494,261726,TIPRL
1495,261734,NPHP4
1496,26184,OR1F2P
1497,2619,GAS1
1498,26205,GMEB2
1499,2621,GAS6
1500,26225,ARL5A
1501,26229,B3GAT3
1502,26232,FBXO2
1503,26234,FBXL5
1504,26259,FBXW8
1505,26260,FBXO25
1506,26277,TINF2
1507,26289,AK5
1508,2630,GBA1LP
1509,26330,GAPDHS
1510,26354,GNL3
1511,2649,NR6A1
1512,26503,SLC17A5
1513,26511,CHIC2
1514,26512,INTS6
1515,26515,TIMM10B
1516,26528,DAZAP1
1517,26574,AATF
1518,26578,OSTF1
1519,2661,GDF9
1520,266697,POM121L4P
1521,2669,GEM
1522,2672,GFI1
1523,26747,NUFIP1
1524,26751,SH3YL1
1525,2676,GFRA3
1526,2686,GGT7
1527,27,ABL2
1528,2700,GJA3
1529,27013,CNPPD1
1530,27031,NPHP3
1531,27037,TRMT2A
1532,27042,UTP25
1533,27063,ANKRD1
1534,27069,GHITM
1535,27076,LYPD3
1536,27086,FOXP1
1537,27092,CACNG4
1538,27097,TAF5L
1539,2710,GK
1540,27112,NALF2
1541,27127,SMC1B
1542,27131,SNX5
1543,27136,MORC1
1544,27143,PALD1
1545,27160,INGX
1546,27161,AGO2
1547,27164,SALL3
1548,27166,PRELID1
1549,27185,DISC1
1550,2720,GLB1
1551,27233,SULT1C4
1552,27242,TNFRSF21
1553,27243,CHMP2A
1554,27248,ERLEC1
1555,27254,CSDC2
1556,27257,LSM1
1557,27258,LSM3
1558,27286,SRPX2
1559,27289,RND1
1560,27293,SMPDL3B
1561,27294,DHDH
1562,2730,GCLM
1563,27300,ZNF544
1564,27301,APEX2
1565,27314,RAB30
1566,27315,PGAP2
1567,27327,TNRC6A
1568,27335,EIF3K
1569,27338,UBE2S
1570,27339,PRPF19
1571,27341,RRP7A
1572,27345,KCNMB4
1573,27346,TMEM97
1574,27347,STK39
1575,27349,MCAT
1576,2737,GLI3
1577,2738,GLI4
1578,2739,GLO1
1579,27433,TOR2A
1580,27436,EML4
1581,27439,TMEM121B
1582,2745,GLRX
1583,2746,GLUD1
1584,2762,GMDS
1585,2766,GMPR
1586,2767,GNA11
1587,2775,GNAO1
1588,2781,GNAZ
1589,2782,GNB1
1590,2787,GNG5
1591,2788,GNG7
1592,2799,GNS
1593,2800,GOLGA1
1594,2803,GOLGA4
1595,2806,GOT2
1596,280658,SSX7
1597,2824,GPM6B
1598,2827,GPR3
1599,282966,C10orf53
1600,282991,BLOC1S2
1601,282997,PDCD4-AS1
1602,283011,FLJ37201
1603,283050,ZMIZ1-AS1
1604,283078,MKX
1605,2831,NPBWR1
1606,283129,MAJIN
1607,283159,OR8D1
1608,283214,DGAT2-DT
1609,283232,TMEM80
1610,283237,TTC9C
1611,283248,RCOR2
1612,283335,TNS2-AS1
1613,283377,SPRYD4
1614,283416,LINC01465
1615,283431,GAS2L3
1616,283459,GATC
1617,283480,FGF14-IT1
1618,283483,ARGLU1-DT
1619,283487,PRECSIT
1620,283489,CHAMP1
1621,283507,SUGT1P3
1622,283578,TMED8
1623,283579,C14orf178
1624,283638,CEP170B
1625,283683,LOC283683
1626,283692,CPEB1-AS1
1627,283726,SAXO2
1628,283755,HERC2P3
1629,283870,BRICD5
1630,283899,INO80E
1631,283922,PDPR2P
1632,284001,CCDC57
1633,284018,C17orf58
1634,284023,RNF227
1635,284047,CCDC144BP
1636,284098,PIGW
1637,284116,KRT42P
1638,284124,FLJ36000
1639,284131,ENDOV
1640,284207,METRNL
1641,284276,LINC00908
1642,284294,LINC01924
1643,284306,ZNF547
1644,284312,ZSCAN1
1645,284325,ACTMAP
1646,284352,PPP1R37
1647,284361,EMC10
1648,284403,WDR62
1649,284408,ZNF790-AS1
1650,284412,LOC284412
1651,2846,LPAR4
1652,284654,RSPO1
1653,284661,LINC01777
1654,284716,RIMKLA
1655,284798,LOC284798
1656,284801,MIR663AHG
1657,285016,ALKAL2
1658,285033,STARD7-AS1
1659,285051,STPG4
1660,285074,ANAPC1P2
1661,28512,NKIRAS1
1662,28514,DLL1
1663,285148,IAH1
1664,285154,CYP1B1-AS1
1665,285331,CCDC66
1666,285335,SLC9C1
1667,285381,DPH3
1668,285382,C3orf70
1669,285407,ALG1L9P
1670,285440,CYP4V2
1671,285521,COX18
1672,285550,FAM200B
1673,285577,LINC01019
1674,285605,DTWD2
1675,285629,LINC02159
1676,285671,RNF180
1677,285761,DCBLD1
1678,285955,SPDYE1
1679,285958,SNHG15
1680,285961,SEPTIN7P9
1681,285962,WEE2-AS1
1682,286,ANK1
1683,286075,ZNF707
1684,286077,FAM83H
1685,286097,MICU3
1686,286177,LOC286177
1687,286187,PPP1R42
1688,2862,MLNR
1689,2863,GPR39
1690,286336,FAM78A
1691,286464,CFAP47
1692,2868,GRK4
1693,286826,LIN9
1694,286827,TRIM59
1695,2872,MKNK2
1696,2879,GPX4
1697,2887,GRB10
1698,2889,RAPGEF1
1699,28952,CCDC22
1700,28956,LAMTOR2
1701,28962,OSTM1
1702,28966,SNX24
1703,28968,SLC6A16
1704,28970,C11orf54
1705,28972,SPCS1
1706,28976,ACAD9
1707,28981,IFT81
1708,28982,FLVCR1
1709,28984,RGCC
1710,28999,KLF15
1711,2900,GRIK4
1712,2902,GRIN1
1713,29058,TMEM230
1714,29066,ZC3H7A
1715,29068,ZBTB44
1716,29071,C1GALT1C1
1717,29072,SETD2
1718,29078,NDUFAF4
1719,29081,METTL5
1720,29089,UBE2T
1721,29091,STXBP6
1722,29092,LINC00339
1723,29099,COMMD9
1724,29101,SSU72
1725,29102,DROSHA
1726,29110,TBK1
1727,29115,SAP30BP
1728,29122,PRSS50
1729,29123,ANKRD11
1730,29127,RACGAP1
1731,2915,GRM5
1732,2917,GRM7
1733,2920,CXCL2
1734,2928,GSC2
1735,2931,GSK3A
1736,2935,GSPT1
1737,2957,GTF2A1
1738,2959,GTF2B
1739,2961,GTF2E2
1740,2962,GTF2F1
1741,2965,GTF2H1
1742,2966,GTF2H2
1743,2967,GTF2H3
1744,2969,GTF2I
1745,2970,GTF2IP1
1746,2975,GTF3C1
1747,2976,GTF3C2
1748,29761,USP25
1749,29774,POM121L9P
1750,29777,ABT1
1751,29781,NCAPH2
1752,29797,POM121L8P
1753,29799,YPEL1
1754,29800,ZDHHC1
1755,29841,GRHL1
1756,29842,TFCP2L1
1757,29844,TFPT
1758,2987,GUK1
1759,29880,ALG5
1760,29882,ANAPC2
1761,29883,CNOT7
1762,29886,SNX8
1763,29889,GNL2
1764,29890,RBM15B
1765,29919,RMC1
1766,29923,HILPDA
1767,29924,EPN1
1768,29925,GMPPB
1769,29927,SEC61A1
1770,29928,TIMM22
1771,29942,PURG
1772,29966,STRN3
1773,29985,SLC39A3
1774,29986,SLC39A2
1775,2999,GZMH
1776,29995,LMCD1
1777,30001,ERO1A
1778,3002,GZMB
1779,302,ANXA2
1780,3020,H3-3A
1781,3021,H3-3B
1782,3064,HTT
1783,3069,HDLBP
1784,30812,SOX8
1785,30837,SOCS7
1786,30844,EHD4
1787,30851,TAX1BP3
1788,3092,HIP1
1789,3096,HIVEP1
1790,30968,STOML2
1791,31,ACACA
1792,3110,MNX1
1793,3131,HLF
1794,3151,HMGN2
1795,3157,HMGCS1
1796,3161,HMMR
1797,3163,HMOX2
1798,3167,HMX2
1799,3169,FOXA1
1800,317649,EIF4E3
1801,317662,FAM149B1
1802,317761,C14orf39
1803,317762,CCDC85C
1804,317781,DDX51
1805,3178,HNRNPA1
1806,3181,HNRNPA2B1
1807,3182,HNRNPAB
1808,3189,HNRNPH3
1809,3190,HNRNPK
1810,3192,HNRNPU
1811,3198,HOXA1
1812,320,APBA1
1813,3203,HOXA6
1814,3205,HOXA9
1815,321,APBA2
1816,3219,HOXB9
1817,3221,HOXC4
1818,3222,HOXC5
1819,3223,HOXC6
1820,3224,HOXC8
1821,3226,HOXC10
1822,3237,HOXD11
1823,3242,HPD
1824,326,AIRE
1825,3269,HRH1
1826,3276,PRMT1
1827,329,BIRC2
1828,3293,HSD17B3
1829,3297,HSF1
1830,3309,HSPA5
1831,3311,HSPA7
1832,3313,HSPA9
1833,3329,HSPD1
1834,3337,DNAJB1
1835,3339,HSPG2
1836,3363,HTR7
1837,337873,H2BC20P
1838,337876,CHSY3
1839,337960,KRTAP13-3
1840,337971,KRTAP19-4
1841,337972,KRTAP19-5
1842,338005,LINC00221
1843,338069,ST7-OT4
1844,338651,KRTAP5-AS1
1845,338707,B4GALNT4
1846,338739,CSTF3-DT
1847,339,APOBEC1
1848,339123,JMJD8
1849,339230,CCDC137
1850,339231,ARL16
1851,339318,ZNF181
1852,339398,LINGO4
1853,3394,IRF8
1854,339665,SLC35E4
1855,3398,ID2
1856,339803,C2orf74-DT
1857,339804,C2orf74
1858,3400,ID4
1859,340024,SLC6A19
1860,340037,PRR7-AS1
1861,340146,SLC35D3
1862,340152,ZC3H12D
1863,340260,UNCX
1864,340385,ZNF517
1865,340578,DCAF12L2
1866,340719,NANOS1
1867,341208,HEPHL1
1868,341359,SYT10
1869,341676,NEK5
1870,341880,SLC35F4
1871,341883,LRRC9
1872,3420,IDH3B
1873,3421,IDH3G
1874,3422,IDI1
1875,3425,IDUA
1876,342574,KRT27
1877,343099,CCDC18
1878,3434,IFIT1
1879,343521,DYNLT4
1880,343637,RSPO4
1881,344167,FOXI3
1882,344595,DUBR
1883,344875,COL6A4P1
1884,344887,NMRAL2P
1885,345456,PFN3
1886,345630,FBLL1
1887,345643,MCIDAS
1888,345757,FAM174A
1889,347240,KIF24
1890,347252,IGFBPL1
1891,347344,ZNF81
1892,347411,MPC1L
1893,347475,CCDC160
1894,3475,IFRD1
1895,347730,LRRTM1
1896,347734,SLC35B2
1897,347862,GATD1
1898,347902,AMIGO2
1899,348093,RBPMS2
1900,348180,CTU2
1901,348254,CCDC144CP
1902,3483,IGFALS
1903,3485,IGFBP2
1904,3487,IGFBP4
1905,348793,WDR53
1906,348808,NPHP3-AS1
1907,348840,ANKRD18DP
1908,348980,HCN1
1909,3490,IGFBP7
1910,3491,CCN1
1911,3516,RBPJ
1912,353,APRT
1913,353116,RILPL1
1914,353139,LCE2A
1915,353497,POLN
1916,3556,IL1RAP
1917,3572,IL6ST
1918,3576,CXCL8
1919,3589,IL11
1920,359948,IRF2BP2
1921,36,ACADSB
1922,3607,FOXK2
1923,3609,ILF3
1924,3611,ILK
1925,3615,IMPDH2
1926,362,AQP5
1927,3624,INHBA
1928,3626,INHBC
1929,3631,INPP4A
1930,3632,INPP5A
1931,3638,INSIG1
1932,3654,IRAK1
1933,3658,IREB2
1934,3659,IRF1
1935,3664,IRF6
1936,3679,ITGA7
1937,3680,ITGA9
1938,3687,ITGAX
1939,3688,ITGB1
1940,369,ARAF
1941,3691,ITGB4
1942,3717,JAK2
1943,3726,JUNB
1944,3727,JUND
1945,3728,JUP
1946,3737,KCNA2
1947,3739,KCNA4
1948,374291,NDUFS7
1949,374378,GALNT18
1950,374393,FAM111B
1951,374395,TMEM179B
1952,374654,KIF7
1953,374864,CCDC178
1954,374868,ATP9B
1955,374887,YJEFN3
1956,374897,SBSN
1957,374899,ZNF829
1958,374918,IGFL1
1959,374928,ZNF773
1960,375057,STUM
1961,375189,PFN4
1962,375196,LOC375196
1963,375323,LHFPL4
1964,375341,C3orf62
1965,375387,NRROS
1966,375484,SIMC1
1967,375513,GUSBP4
1968,375593,TRIM73
1969,375607,NAT16
1970,375690,WASH5P
1971,375704,ENHO
1972,375743,PTAR1
1973,375757,SWI5
1974,376267,RAB15
1975,3764,KCNJ8
1976,376497,SLC27A1
1977,3768,KCNJ12
1978,377047,PRSS45P
1979,3775,KCNK1
1980,378,ARF4
1981,3783,KCNN4
1982,3786,KCNQ3
1983,3788,KCNS2
1984,378805,LINC-PINT
1985,378884,NHLRC1
1986,378938,MALAT1
1987,379,ARL4D
1988,379013,RNF138P1
1989,3795,KHK
1990,3800,KIF5C
1991,382,ARF6
1992,3831,KLC1
1993,3835,KIF22
1994,3836,KPNA1
1995,3838,KPNA2
1996,3839,KPNA3
1997,384,ARG2
1998,3840,KPNA4
1999,3842,TNPO1
2000,3853,KRT6A
2001,3856,KRT8
2002,386593,CHKB-CPT1B
2003,3866,KRT15
2004,386607,ZFP91-CNTF
2005,386627,SAP30L-AS1
2006,386676,KRTAP10-9
2007,386679,KRTAP10-2
2008,386758,ZNF582-DT
2009,3868,KRT16
2010,387032,ZKSCAN4
2011,387066,SNHG5
2012,387103,CENPW
2013,387263,C6orf120
2014,387509,GPR153
2015,387521,PEDS1
2016,387522,PEDS1-UBE2V1
2017,387597,ILDR2
2018,387723,C10orf143
2019,387763,C11orf96
2020,387775,SLC22A10
2021,387893,KMT5A
2022,387921,NHLRC3
2023,387923,SERP2
2024,387990,TOMM20L
2025,388,RHOB
2026,388021,TMEM179
2027,388182,SPATA41
2028,388228,SBK1
2029,388272,C16orf87
2030,388282,LOC388282
2031,388336,SHISA6
2032,388372,CCL4L1
2033,388403,YPEL2
2034,388468,POTEC
2035,388531,RGS9BP
2036,388552,BLOC1S3
2037,388581,C1QTNF12
2038,388585,HES5
2039,388610,TRNP1
2040,388650,DIPK1A
2041,3887,KRT81
2042,389023,DPP10-AS1
2043,389118,CDHR4
2044,389152,PRR23C
2045,389289,ANXA2R
2046,389337,ARHGEF37
2047,389432,SAMD5
2048,3895,KTN1
2049,389538,CCZ1P-OR7E38P
2050,389541,LAMTOR4
2051,389641,TNFRSF10A-DT
2052,389668,XKR9
2053,389677,RBM12B
2054,389692,MAFA
2055,3898,LAD1
2056,389831,LOC389831
2057,389840,MAP3K15
2058,389860,PAGE2B
2059,389874,ZCCHC13
2060,389895,HAPSTR2
2061,390205,LRRC10B
2062,390637,GDPGP1
2063,390874,ONECUT3
2064,3909,LAMA3
2065,3912,LAMB1
2066,3925,STMN1
2067,393046,OR2A5
2068,394,ARHGAP5
2069,3948,LDHC
2070,3978,LIG1
2071,398,ARHGDIG
2072,3983,ABLIM1
2073,3988,LIPA
2074,3996,LLGL1
2075,399697,CTXN2
2076,399706,LINC00200
2077,399821,EDRF1-DT
2078,399979,SNX19
2079,400221,LINC03033
2080,400236,FOXN3-AS1
2081,400322,HERC2P2
2082,400359,LINC02694
2083,4004,LMO1
2084,400506,KNOP1
2085,400566,LIAT1
2086,400617,KCNJ2-AS1
2087,400629,TEX19
2088,400658,ZNF516-DT
2089,400680,LINC00664
2090,400684,DPY19L3-DT
2091,400710,ZNF473CR
2092,400761,LRRC8C-DT
2093,400798,C1orf220
2094,400804,LINC02817
2095,400891,LRRC74B
2096,400927,TPTEP2
2097,400940,LOC400940
2098,401022,HAGLR
2099,401089,FOXL2NB
2100,401097,C3orf80
2101,401106,ATP13A3-DT
2102,401124,DTHD1
2103,401320,GARS1-DT
2104,401331,RASA4CP
2105,401397,SMIM30
2106,401399,PRRT4
2107,401494,HACD4
2108,401505,TOMM5
2109,401535,LINC02872
2110,401548,SNX30
2111,401588,ZNF674-AS1
2112,401612,SLC25A53
2114,402055,SRRD
2115,402160,CFAP99
2116,403341,ZBTB34
2117,4035,LRP1
2118,4036,LRP2
2119,4040,LRP6
2120,404093,CUEDC1
2121,4041,LRP5
2122,404550,C16orf74
2123,404734,ANKHD1-EIF4EBP3
2124,406891,MIRLET7I
2125,406909,MIR124-3
2126,406918,MIR129-2
2127,406921,MIR132
2128,406934,MIR142
2129,406994,MIR212
2130,407000,MIR218-1
2131,407041,MIR34B
2132,4071,TM4SF1
2133,407977,TNFSF12-TNFSF13
2134,4082,MARCKS
2135,4086,SMAD1
2136,4087,SMAD2
2137,4088,SMAD3
2138,4091,SMAD6
2139,4097,MAFG
2140,410,ARSA
2141,4113,MAGEB2
2142,4121,MAN1A1
2143,4130,MAP1A
2144,4131,MAP1B
2145,4133,MAP2
2146,4135,MAP6
2147,4140,MARK3
2148,414245,DNAJC9-AS1
2149,4144,MAT2A
2150,4149,MAX
2151,414918,DENND6B
2152,414919,C8orf82
2153,415,ARSL
2154,4163,MCC
2155,4172,MCM3
2156,4175,MCM6
2157,4189,DNAJB9
2158,4191,MDH2
2159,4193,MDM2
2160,4201,MEA1
2161,4204,MECP2
2162,421,ARVCF
2163,4212,MEIS2
2164,4216,MAP3K4
2165,4233,MET
2166,4236,MFAP1
2167,4237,MFAP2
2168,4238,MFAP3
2169,4240,MFGE8
2170,4255,MGMT
2171,4289,MKLN1
2172,4298,MLLT1
2173,43,ACHE
2174,4301,AFDN
2175,4312,MMP1
2176,4314,MMP3
2177,4318,MMP9
2178,4322,MMP13
2179,4326,MMP17
2180,439921,MXRA7
2181,439927,LINC01555
2182,439931,THAP7-AS1
2183,440026,TMEM41B
2184,440081,DDX12P
2185,440119,FZD10-AS1
2186,440138,ALG11
2187,440145,MZT1
2188,440275,EIF2AK4
2189,440288,UBL7-DT
2190,440518,GOLGA2P9
2191,440925,LINC01124
2192,441058,LINC01667
2193,441061,MARCHF11
2194,441242,LINC03006
2195,441308,OR4F21
2196,441381,LRRC24
2197,441389,LINC01239
2198,441455,LOC441455
2199,441457,NUTM2G
2200,441478,NRARP
2201,441549,CDNF
2202,441601,SEPTIN7P11
2203,442590,SPDYE5
2204,442903,MIR331
2205,4430,MYO1B
2206,4436,MSH2
2207,4437,MSH3
2208,444,ASPH
2209,445815,PALM2AKAP2
2210,4489,MT1A
2211,4490,MT1B
2212,4495,MT1G
2213,4499,MT1M
2214,4500,MT1L
2215,4501,MT1X
2216,4502,MT2A
2217,4504,MT3
2218,4522,MTHFD1
2219,4528,MTIF2
2220,4543,MTNR1A
2221,4552,MTRR
2222,4597,MVD
2223,4599,MX1
2224,4600,MX2
2225,4602,MYB
2226,463,ZFHX3
2227,4638,MYLK
2228,4643,MYO1E
2229,4649,MYO9A
2230,466,ATF1
2231,4670,HNRNPM
2232,4674,NAP1L2
2233,4676,NAP1L4
2234,468,ATF4
2235,4685,NCAM2
2236,4686,NCBP1
2237,4690,NCK1
2238,4691,NCL
2239,4692,NDN
2240,4694,NDUFA1
2241,4700,NDUFA6
2242,4701,NDUFA7
2243,4706,NDUFAB1
2244,4710,NDUFB4
2245,4711,NDUFB5
2246,4715,NDUFB9
2247,472,ATM
2248,4726,NDUFS6
2249,4731,NDUFV3
2250,4733,DRG1
2251,4734,NEDD4
2252,4738,NEDD8
2253,4741,NEFM
2254,4751,NEK2
2255,4763,NF1
2256,4773,NFATC2
2257,4774,NFIA
2258,478,ATP1A3
2259,4780,NFE2L2
2260,4783,NFIL3
2261,4784,NFIX
2262,4790,NFKB1
2263,4793,NFKBIB
2264,4796,TONSL
2265,4799,NFX1
2266,4803,NGF
2267,4815,NINJ2
2268,4817,NIT1
2269,4820,NKTR
2270,4830,NME1
2271,4839,NOP2
2272,4846,NOS3
2273,4849,CNOT3
2274,4851,NOTCH1
2275,4861,NPAS1
2276,4863,NPAT
2277,488,ATP2A2
2278,4880,NPPC
2279,4884,NPTX1
2280,4885,NPTX2
2281,4889,NPY5R
2282,4899,NRF1
2283,4908,NTF3
2284,4913,NTHL1
2285,4915,NTRK2
2286,4923,NTSR1
2287,492307,PPDPFL
2288,4928,NUP98
2289,493753,COA5
2290,493856,CISD2
2291,493911,PHOSPHO2
2292,494325,MIR376A1
2293,4946,OAZ1
2294,497661,C18orf32
2295,49854,ZBTB21
2296,49855,SCAPER
2297,4987,OPRL1
2298,4998,ORC1
2299,5001,ORC5
2300,5010,CLDN11
2301,5017,OVOL1
2302,5029,P2RY2
2303,503693,LOH12CR2
2304,5042,PABPC3
2305,5047,PAEP
2306,50485,SMARCAL1
2307,50488,MINK1
2308,5051,PAFAH2
2309,50512,PODXL2
2310,50515,CHST11
2311,50628,GEMIN4
2312,5066,PAM
2313,5071,PRKN
2314,5074,PAWR
2315,5077,PAX3
2316,5080,PAX6
2317,50805,IRX4
2318,50807,ASAP1
2319,50809,HP1BP3
2320,50814,NSDHL
2321,50853,VILL
2322,50855,PARD6A
2323,5090,PBX3
2324,5091,PC
2325,5095,PCCA
2326,5098,PCDHGC3
2327,50999,TMED5
2328,51001,MTERF3
2329,51005,AMDHD2
2330,51006,SLC35C2
2331,51009,DERL2
2332,51012,PRELID3B
2333,51015,ISOC1
2334,51028,VPS36
2335,51031,GLOD4
2336,51042,ZNF593
2337,51056,LAP3
2338,51061,TXNDC11
2339,51067,YARS2
2340,51069,MRPL2
2341,51078,THAP4
2342,51079,NDUFA13
2343,51084,CRYL1
2344,51088,KLHL5
