,ENTREZID,SYMBOL
236,100852409,NEGR1-IT1
237,100861519,GDNF-AS1
238,100862704,RB1-DT
239,100874021,MAGI2-AS2
240,100874051,LZTS1-AS1
241,100874083,KCNAB1-AS2
242,100874107,MTUS2-AS1
243,100874123,ZNRF3-AS1
244,100874127,LINC00332
245,100874195,DIAPH3-AS1
246,100874208,NDFIP2-AS1
247,100874286,NRG1-IT3
248,10097,ACTR2
249,10098,TSPAN5
250,100996255,LINC02256
251,100996331,POTEB
252,10101,NUBP2
253,101060200,ZNF891
254,10109,ARPC2
255,101101772,LINC00601
256,10113,PREB
257,10120,ACTR1B
258,10131,TRAP1
259,10135,NAMPT
260,10138,YAF2
261,101410533,YTHDF3-DT
262,101410534,DLGAP1-AS4
263,101410535,LAMTOR5-AS1
264,10144,FAM13A
265,10150,MBNL2
266,10153,CEBPZ
267,101559451,PELP1-DT
268,10157,AASS
269,10159,ATP6AP2
270,10179,RBM7
271,10184,LHFPL2
272,10188,TNK2
273,10189,ALYREF
274,10196,PRMT3
275,10197,PSME3
276,10198,MPHOSPH9
277,10199,MPHOSPH10
278,10200,MPHOSPH6
279,10208,USPL1
280,10215,OLIG2
281,10217,CTDSPL
282,1022,CDK7
283,10221,TRIB1
284,10226,PLIN3
285,10227,MFSD10
286,10238,DCAF7
287,10240,MRPS31
288,10247,RIDA
289,10248,POP7
290,10254,STAM2
291,10257,ABCC4
292,10265,IRX5
293,10274,STAG1
294,10278,EFS
295,1028,CDKN1C
296,10284,SAP18
297,10285,SMNDC1
298,10286,BCAS2
299,10289,EIF1B
300,10291,SF3A1
301,10293,TRAIP
302,10296,MAEA
303,10297,APC2
304,10299,MARCHF6
305,103,ADAR
306,10301,DLEU1
307,10307,APBB3
308,10311,VPS26C
309,1032,CDKN2D
310,10320,IKZF1
311,10324,KLHL41
312,10328,EMC8
313,10333,TLR6
314,10347,ABCA7
315,10350,ABCA9
316,10362,HMG20B
317,10365,KLF2
318,10370,CITED2
319,10389,SCML2
320,103910,MYL12B
321,104,ADARB1
322,1040,CDS1
323,10403,NDC80
324,10413,YAP1
325,10418,SPON1
326,10421,CD2BP2
327,10422,UBAC1
328,10425,ARIH2
329,10426,TUBGCP3
330,10430,TMEM147
331,10444,ZER1
332,10451,VAV3
333,10454,TAB1
334,10456,HAX1
335,10463,SLC30A9
336,10468,FST
337,10483,SEC23B
338,10490,VTI1B
339,10492,SYNCRIP
340,10498,CARM1
341,1050,CEBPA
342,10501,SEMA6B
343,10513,APPBP2
344,10514,MYBBP1A
345,10522,DEAF1
346,10523,CHERP
347,10525,HYOU1
348,10534,ZNRD2
349,10535,RNASEH2A
350,10552,ARPC1A
351,10562,OLFM4
352,10565,ARFGEF1
353,10566,AKAP3
354,10567,RABAC1
355,10568,SLC34A2
356,10573,MRPL28
357,10575,CCT4
358,1059,CENPB
359,10591,DNPH1
360,10597,TRAPPC2B
361,10602,CDC42EP3
362,10605,PAIP1
363,10607,TBL3
364,10608,MXD4
365,10611,PDLIM5
366,10613,ERLIN1
367,10615,SPAG5
368,1062,CENPE
369,10656,KHDRBS3
370,10657,KHDRBS1
371,10660,LBX1
372,10664,CTCF
373,10668,CGRRF1
374,10669,CGREF1
375,10672,GNA13
376,1068,CETN1
377,1069,CETN2
378,10726,NUDC
379,10728,PTGES3
380,10734,STAG3
381,10743,RAI1
382,10749,KIF1C
