,Var1,Freq
351,4930405D01Rik,1
352,4930405H06Rik,1
353,4930405O22Rik,1
354,4930407I02Rik,2
357,4930413E20Rik,1
359,4930417O22Rik,1
360,4930420G21Rik,1
361,4930422M22Rik,1
362,4930423B08Rik,1
363,4930426D05Rik,2
364,4930428G15Rik,1
365,4930429F24Rik,1
366,4930429H19Rik,1
367,4930429P21Rik,1
368,4930430E12Rik,1
369,4930431F10Rik,1
370,4930431P22Rik,1
371,4930432J09Rik,1
372,4930432M17Rik,1
373,4930439A04Rik,2
374,4930440I19Rik,1
375,4930443O20Rik,1
378,4930445K14Rik,1
379,4930445N18Rik,1
380,4930447F24Rik,1
381,4930447K03Rik,1
383,4930449E01Rik,2
384,4930449E18Rik,1
385,4930449I24Rik,1
387,4930452A19Rik,1
388,4930452N14Rik,1
389,4930453N24Rik,1
390,4930455C13Rik,1
392,4930461G14Rik,1
393,4930463O16Rik,1
394,4930465K10Rik,1
395,4930467K11Rik,1
396,4930470P17Rik,1
397,4930471G03Rik,1
398,4930473A02Rik,1
399,4930474M22Rik,1
400,4930474N09Rik,1
401,4930479H17Rik,1
404,4930483J18Rik,1
405,4930483K19Rik,1
406,4930484H19Rik,1
407,4930487H11Rik,2
408,4930488L21Rik,1
409,4930488N24Rik,1
410,4930500A05Rik,2
411,4930500L23Rik,1
412,4930502C15Rik,1
413,4930503F20Rik,1
415,4930504D19Rik,1
416,4930505A04Rik,1
417,4930505K14Rik,1
418,4930509E16Rik,1
419,4930512H18Rik,1
421,4930515B02Rik,1
422,4930517G24Rik,1
423,4930517M08Rik,1
424,4930519H02Rik,1
425,4930519K11Rik,1
428,4930520P13Rik,1
429,4930521O17Rik,1
433,4930524J08Rik,1
434,4930524O05Rik,1
435,4930524O08Rik,1
436,4930525G20Rik,1
437,4930526I15Rik,2
438,4930527A07Rik,1
439,4930527J03Rik,1
440,4930528D03Rik,1
441,4930528G23Rik,1
442,4930529C04Rik,1
443,4930532M18Rik,1
444,4930533I22Rik,1
446,4930538L07Rik,1
447,4930539J05Rik,1
448,4930541O19Rik,1
449,4930542M03Rik,1
450,4930543E12Rik,1
451,4930543I03Rik,1
452,4930545E07Rik,1
453,4930545L08Rik,1
454,4930546K05Rik,1
455,4930547E08Rik,1
456,4930547H16Rik,1
458,4930552P06Rik,1
459,4930553P18Rik,1
460,4930554H23Rik,1
461,4930554I06Rik,1
465,4930556J02Rik,1
467,4930557J02Rik,1
468,4930558F17Rik,1
472,4930563F08Rik,1
473,4930563H07Rik,1
474,4930565D16Rik,1
475,4930565N06Rik,1
476,4930567H17Rik,1
477,4930567J20Rik,1
478,4930568E12Rik,1
479,4930568G15Rik,1
480,4930571K23Rik,1
481,4930572G02Rik,1
482,4930572O03Rik,2
483,4930572O13Rik,1
484,4930577N17Rik,1
485,4930578G10Rik,2
487,4930578M01Rik,2
488,4930579D09Rik,1
489,4930579G18Rik,1
490,4930579G24Rik,1
492,4930584F24Rik,1
493,4930590J08Rik,1
494,4930596I21Rik,1
495,4930597O21Rik,1
496,4930599N23Rik,1
497,4931403G20Rik,1
499,4931406H21Rik,2
500,4931408C20Rik,2
501,4931408D14Rik,2
502,4931414P19Rik,2
503,4931415C17Rik,1
504,4931428L18Rik,2
505,4931429P17Rik,1
506,4931431B13Rik,1
509,4932413F04Rik,1
510,4932414N04Rik,1
511,4932416K20Rik,1
512,4932431P20Rik,1
514,4932437C15Rik,1
515,4932438H23Rik,1
516,4932443L11Rik,1
517,4932702P03Rik,1
518,4933402D24Rik,1
519,4933404O12Rik,1
521,4933406F09Rik,1
522,4933407G14Rik,1
523,4933407K13Rik,1
526,4933408J17Rik,1
527,4933408N05Rik,1
528,4933409K07Rik,1
529,4933411K16Rik,2
531,4933416M06Rik,1
532,4933416M07Rik,1
534,4933421O10Rik,1
535,4933422A05Rik,1
537,4933424G05Rik,2
538,4933424G06Rik,1
539,4933424M12Rik,1
540,4933425B07Rik,1
542,4933427I22Rik,2
543,4933428C19Rik,1
544,4933428G20Rik,3
545,4933430I17Rik,1
546,4933430M04Rik,1
547,4933431E20Rik,1
548,4933431G14Rik,1
549,4933432I03Rik,1
551,4933433N18Rik,1
552,4933436E23Rik,1
553,4933438K21Rik,1
554,4933439K11Rik,1
555,5031410I06Rik,1
556,5031425F14Rik,1
557,5031426D15Rik,1
559,5033403F01Rik,1
560,5033406O09Rik,1
561,5033417F24Rik,1
563,5330411J11Rik,1
565,5330434G04Rik,1
566,5330439A09Rik,1
567,5430400D12Rik,1
568,5430402O13Rik,1
570,5430405H02Rik,1
572,5430431A17Rik,2
574,5430440P10Rik,1
581,5730460C07Rik,1
582,5730522E02Rik,1
583,5730552O08Rik,1
584,5830418P13Rik,2
585,5830428M24Rik,1
586,5830444B04Rik,1
588,5930403N24Rik,1
590,5930438M14Rik,1
591,6030407O03Rik,1
592,6030440G07Rik,1
594,6030468B19Rik,1
595,6030469F06Rik,1
596,6330403K07Rik,1
599,6330418K02Rik,2
600,6330537M06Rik,1
603,6430562O15Rik,2
606,6530402F18Rik,1
608,6530409C15Rik,2
609,6530411M01Rik,1
610,6720432D03Rik,1
611,6720468P15Rik,1
613,6820408C15Rik,3
615,7530416G11Rik,1
616,8030423F21Rik,1
617,8030423J24Rik,1
618,8030451A03Rik,1
619,8030453O22Rik,2
620,8430415O14Rik,1
621,8430423G03Rik,1
622,8430429K09Rik,1
623,8430430B14Rik,1
624,9030404E10Rik,1
625,9030607L20Rik,1
626,9030612E09Rik,1
627,9030616G12Rik,1
628,9030622O22Rik,1
629,9030624G23Rik,1
630,9130002K18Rik,1
631,9130019O22Rik,2
632,9130019P16Rik,1
633,9130023H24Rik,1
634,9130204K15Rik,1
635,9130213A22Rik,1
636,9130214F15Rik,1
637,9130221H12Rik,1
638,9130401M01Rik,1
639,9230009I02Rik,1
641,9230117E06Rik,1
642,9330104G04Rik,1
644,9330151L19Rik,1
647,9330162B11Rik,1
648,9330175M20Rik,1
649,9330179D12Rik,1
653,9430041J12Rik,2
654,9430053O09Rik,1
656,9430085M18Rik,1
658,9530026F06Rik,1
659,9530026P05Rik,1
660,9530027J09Rik,1
661,9530036M11Rik,1
662,9530051G07Rik,1
664,9530052E02Rik,1
667,9630001P10Rik,1
669,9630013K17Rik,1
671,9630028I04Rik,1
676,9930104L06Rik,1
677,9930111H07Rik,2
681,A230001M10Rik,1
682,A230004M16Rik,1
683,A230028O05Rik,1
685,A230056J06Rik,1
686,A230056P14Rik,1
689,A230083G16Rik,1
690,A230087F16Rik,1
693,A2ml1,1
694,A330009N23Rik,1
695,A330023F24Rik,1
696,A330032B11Rik,2
698,A330033J07Rik,1
699,A330040F15Rik,1
700,A330041J22Rik,1
702,A330070K13Rik,1
703,A330074K22Rik,2
704,A330076H08Rik,1
710,A430048G15Rik,1
711,A430085M09Rik,1
713,A4galt,1
715,A530010L16Rik,1
716,A530032D15Rik,2
717,A530040E14Rik,1
718,A530058N18Rik,1
719,A530065N20Rik,1
720,A530095I07Rik,1
721,A630001O12Rik,1
723,A630034I12Rik,1
724,A630039O03Rik,1
725,A630066F11Rik,1
726,A630072L19Rik,3
727,A630076J17Rik,1
729,A730009L09Rik,1
732,A730018C14Rik,1
733,A730032A03Rik,1
734,A730036I17Rik,1
735,A730043L09Rik,1
736,A730049H05Rik,1
737,A730060N03Rik,3
740,A730090N16Rik,1
741,A830011K09Rik,1
742,A830012C17Rik,1
744,A830019L24Rik,1
746,A830031A19Rik,1
747,A830036E02Rik,1
748,A830082N09Rik,2
749,A930001C03Rik,1
754,A930007I19Rik,1
757,A930016O22Rik,1
759,A930024E05Rik,1
760,A930028N01Rik,1
762,AA414768,1
764,AA467197,1
765,AA543401,1
766,AA623943,1
770,Aamp,1
772,Aard,1
775,Aarsd1,1
779,AB124611,1
781,Abca1,2
782,Abca14,1
783,Abca15,2
786,Abca4,3
787,Abca7,1
790,Abcb1b,2
791,Abcb4,1
797,Abcc10,1
798,Abcc12,3
799,Abcc3,1
800,Abcc4,2
803,Abcc9,1
806,Abcd4,2
807,Abcf2,1
809,Abcg1,1
814,Abhd11,1
815,Abhd11os,1
819,Abhd15,1
822,Abhd17b,1
823,Abhd17c,1
828,Abi1,1
829,Abi2,1
830,Abi3bp,1
831,Abitram,1
841,Abraxas2,1
842,Abt1,1
844,Abtb2,1
845,Abtb3,2
854,Acads,1
856,Acap2,1
860,Acat3,2
862,Acbd4,1
864,Acbd6,1
865,Acbd7,1
867,Accsl,2
868,Acd,1
869,Ace,1
874,Ackr1,1
876,Ackr4,3
883,Acot2,1
884,Acot4,2
885,Acot5,1
886,Acot6,1
893,Acp4,2
894,Acp5,2
896,Acp7,1
897,Acr,1
898,Acrbp,1
899,Acsbg1,1
900,Acsf2,1
901,Acsf3,1
903,Acsl3,1
905,Acsl5,1
906,Acsl6,2
907,Acsm3,1
908,Acsm5,1
910,Acss2os,1
911,Acta1,1
912,Acta2,2
913,Actb,1
914,Actc1,1
915,Actg2,1
922,Actr1a,1
924,Actr2,1
930,Acvr1c,2
932,Acvr2b,1
934,Acy3,1
936,Acyp2,1
937,Ada,1
941,Adam12,1
945,Adam1a,1
948,Adam3,1
949,Adam32,1
953,Adamts12,1
954,Adamts14,1
955,Adamts15,1
956,Adamts16,1
958,Adamts18,1
959,Adamts19,1
960,Adamts2,1
961,Adamts20,1
962,Adamts3,2
963,Adamts5,1
964,Adamts6,2
965,Adamts7,2
966,Adamts8,1
970,Adamtsl5,1
971,Adap1,1
973,Adar,2
974,Adarb1,2
975,Adarb2,1
976,Adat1,1
981,Adcy1,1
982,Adcy2,1
984,Adcy4,1
985,Adcy5,3
986,Adcy6,1
987,Adcy7,3
988,Adcy8,1
990,Adcyap1,1
991,Adcyap1r1,1
993,Add2,2
995,Adgb,2
998,Adgra3,1
999,Adgrb1,4
1000,Adgrb2,3
1001,Adgrb3,2
1002,Adgrf2,1
1004,Adgrg1,5
1005,Adgrg3,1
1006,Adgrl1,1
1010,Adgrv1,2
1012,Adh6-ps1,1
1013,Adh6b,2
1014,Adh7,2
1015,Adi1,1
1016,Adig,1
1019,Adissp,1
1021,Adnp,2
1023,Ado,1
1025,Adora2b,1
1026,Adora3,1
1028,Adprh,1
1029,Adprhl1,2
1030,Adprm,1
1032,Adra1a,2
1034,Adra1d,1
1035,Adra2a,1
1036,Adra2b,1
1038,Adrb1,1
1039,Adrb3,1
1040,Adrm1,1
