"","Row.names","Gene.Symbol","ID","id","V12CBD","V15CBD","V59CBD","V75CBD","V77CBD","V96CBD","V99CBD","V100CBD","V12DMSO","V15DMSO","V59DMSO","V75DMSO","V77DMSO","V96DMSO","V99DMSO","V100DMSO"
"172","COG4","COG4","212189_s_at",542,-0.44726694,1.1874995,0.18614094,0.339354,-0.015967946,-0.3180308,-0.3951991,-0.4645678,-0.22038865,2.025334,-0.098641045,0.48386338,-0.2576751,-0.26094332,-0.24172407,-0.21734159
"884","TXLNA","TXLNA","212300_at",546,1.0530185,1.3362261,1.3770789,1.4160227,1.1242399,1.3163451,1.0926323,1.0156946,0.96481276,1.64496,1.088607,1.2351569,0.9968248,1.0060122,1.0402937,1.0056144
"335","GPATCH8","GPATCH8","212485_at",552,-0.51975596,-0.5290034,-0.58158946,-0.5433359,-0.55697346,-0.49622998,-0.4269215,-0.5235194,-0.48164406,-0.46845028,-0.52096665,-0.5123989,-0.47296867,-0.45869777,-0.45942503,-0.47744337
"19","ADO","ADO","212500_at",553,-0.41950387,-0.3982733,-0.3190649,-0.49137133,-0.35673425,-0.3400071,-0.40174207,-0.4785151,-0.34148034,-0.41110083,-0.31541416,-0.42518404,-0.31214052,-0.31107798,-0.30415577,-0.30742118
"54","ATP11B","ATP11B","212536_at",554,-0.556121,-0.58594793,-0.47885075,-0.5676808,-0.5588779,-0.5575104,-0.6532918,-0.34587407,-0.5299213,-0.5478033,-0.50143677,-0.5644222,-0.546805,-0.5366226,-0.5491781,-0.53735495
"929","ZNF451","ZNF451","212557_at",555,-0.40564388,-0.43957332,-0.40274534,-0.46129304,-0.4310138,-0.41370344,-0.43679535,-0.36939496,-0.37245986,-0.47594714,-0.37090823,-0.41958466,-0.3923215,-0.3772987,-0.37456378,-0.3814136
"43","ARID5B","ARID5B","212614_at",557,-0.41737315,-0.36547858,-0.3251329,-0.42835894,-0.37054995,-0.36246267,-0.47316295,-0.5081401,-0.39889315,-0.3584114,-0.36495945,-0.4106947,-0.40110055,-0.40046984,-0.40304443,-0.3974567
"157","CHN1","CHN1","212624_s_at",558,-0.33523366,-0.039770257,0.22160463,0.34204793,0.08796631,0.1936041,-0.18575288,0.6645183,-0.46863416,0.23569046,-0.2974919,-0.21243346,-0.43358117,-0.4690306,-0.4797436,-0.46423528
"220","DHX29","DHX29","212648_at",560,3.0394218,3.3918045,3.4810688,3.4719553,2.9992926,2.8972487,3.2809036,1.9401109,2.7501109,3.2896295,2.994245,3.0484133,2.8696039,2.5908675,2.7383232,2.7935143
"411","JADE2","JADE2","212660_at",561,-0.49348244,-0.648076,-0.5666705,-0.7022911,-0.53322715,-0.59784746,-0.5801736,-0.50941306,-0.48903987,-0.7562294,-0.47619215,-0.5996323,-0.47581333,-0.48527452,-0.5076833,-0.5172296
"844","TIPARP","TIPARP","212665_at",562,-0.1226865,-0.24265087,-0.20586602,-0.29141313,-0.057899967,-0.18257122,-0.1975614,-0.111973405,-0.09808974,-0.36918443,-0.14433739,-0.17899676,-0.09556391,-0.106779136,-0.097765215,-0.08322773
"419","KDM3A","KDM3A","212689_s_at",563,0.15988518,0.042047407,0.1370856,0.0641535,0.30835095,0.17008415,0.06265714,0.07105575,0.20857656,-0.0859087,0.21599203,0.097524606,0.23203474,0.23325446,0.23898809,0.21920824
"576","PCCB","PCCB","212694_s_at",564,1.6731862,1.9495149,1.743721,1.5937732,2.1816027,2.0038602,1.8881081,2.8510437,2.2271976,1.8556733,2.1441076,1.9269284,2.3811505,2.3577921,2.3717852,2.2420847
"608","PLEKHM1","PLEKHM1","212717_at",565,0.08345333,0.1159116,0.062906094,0.20723313,0.09705789,0.08959034,0.18345185,0.15221599,0.15227342,0.15049136,0.13757226,0.18683214,0.15889011,0.14704348,0.16540635,0.13817978
"412","JMJD6","JMJD6","212723_at",566,-0.3877119,-0.6957695,-0.7379824,-0.6057041,-0.6034103,-0.65487695,-0.2754443,-0.5021061,-0.49345213,-0.8806675,-0.601716,-0.553711,-0.49031916,-0.51691955,-0.5067872,-0.54836255
"92","CAMSAP2","CAMSAP2","212765_at",567,0.66660446,1.224849,1.0566626,1.2979385,0.97683483,0.98397857,0.58824223,1.5813576,0.55860186,1.7234803,0.64097166,0.9663754,0.54024786,0.5934368,0.5680742,0.56879807
"48","ASCC3","ASCC3","212815_at",570,-0.2906677,-0.19276506,-0.29128247,-0.23789932,-0.38106406,-0.35223842,-0.10999534,-0.30195045,-0.34542096,-0.14282082,-0.2963036,-0.30761132,-0.3611193,-0.35919586,-0.3339057,-0.3567801
"752","SLC25A46","SLC25A46","212833_at",571,-0.2667906,-0.2066627,-0.14633903,-0.1369518,-0.24775751,-0.18903455,-0.18471316,-0.2334004,-0.20260642,-0.33112216,-0.18547271,-0.24150173,-0.1950965,-0.21508926,-0.20482694,-0.16980876
"466","MAPKAPK5","MAPKAPK5","212871_at",574,-0.28536874,-0.36666587,-0.3940084,-0.32092425,-0.32307005,-0.31679332,-0.32986915,-0.40836343,-0.3211472,-0.40819848,-0.3680353,-0.33004263,-0.32546803,-0.32299587,-0.32351288,-0.32988146
"86","C2CD2","C2CD2","212875_s_at",575,0.49168482,0.40254578,0.64573634,0.5477303,0.6204981,0.69010085,0.4091791,0.625748,0.5204125,0.40436584,0.53448546,0.4491736,0.48135254,0.52989024,0.53211904,0.4842253
"912","WDR7","WDR7","212880_at",576,-0.40076932,-0.34266144,-0.36053365,-0.3044412,-0.33461002,-0.3062645,-0.39146835,-0.41505224,-0.34546554,-0.315834,-0.36823386,-0.31138018,-0.33625442,-0.33948243,-0.34235385,-0.34791452
"806","SUPV3L1","SUPV3L1","212894_at",577,0.13615268,0.39284855,0.37132174,0.37593284,0.17543902,0.22672237,0.34366316,0.022928644,0.13635679,0.4154879,0.27823853,0.26590517,0.18541467,0.1665615,0.19585268,0.13333276
"836","THAP11","THAP11","212910_at",579,0.087307505,0.17838559,-0.10429118,0.0072301696,0.16967103,-0.041780077,0.15269072,0.14865291,0.18817613,0.15761514,0.10317415,0.15650634,0.2061608,0.18172437,0.1979586,0.22529346
