Compound_CID,SMILES
11954226,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6CC([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
9908684,CCN1C(=NC=N1)COC2=NN3C(=NN=C3C4=CC=CC=C4F)C=C2C(C)(C)C
9895468,CN(C)C(=O)[C@@H]1C[C@H](CN1[C@]2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O
9832383,CC1=C(C=CC(=C1)F)[C@H]2CNCCN2C(=O)N(C)[C@H](C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
6436133,C[C@H]1C=C[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/C([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H](C([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)O[C@@H]1C8CCCCC8
119380,CC1=NOC(=C1)[C@@H]2CCCN2C
44115,C1=CC(=CC=C1C(=NCCCC(=O)N)C2=C(C=CC(=C2)F)O)Cl
15387,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F
4064,CCCC(C)(COC(=O)N)COC(=O)N
135413553,CCN=C1NC2=C(C=C(C=C2)Cl)C(O1)(C)C3=CC=CC=C3
135413552,CCN=C1NC2=C(C=C(C=C2)Cl)C(O1)(C)C3=CC=CC=C3.Cl
22609888,CN1C(=NC=N1)COC2=NN3C(=NN=C3C4=C(C=CC=C4F)F)C=C2C5CCC5
21958071,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O
13373005,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O
11154555,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
9884366,CC[C@@H](C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C
9560989,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O
5384136,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O
5324346,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
71897,CC1=CC(=NN1)CCN2CCN(CC2)C3=CC(=CC=C3)Cl
60558,C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
43725,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O
37368,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F.Cl
37367,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)OC(=O)N(C)C)C3=CC=CC=C3
14434,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F.Cl.Cl
9330,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O
3393,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
119090957,[2H]C([2H])(C([2H])([2H])O/N=C(/CCCCOC)\C1=CC=C(C=C1)C(F)(F)F)N.C(=C\C(=O)O)\C(=O)O
10331863,CC1=CC(=NC(=C1N)C#CC2=CC(=CC=C2)F)C
5384200,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F.C(=C\C(=O)O)\C(=O)O
439153,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
23630026,CCCNC(=O)C1=NN=C2C(=C1N)C=CC=C2C3=C(C=CC(=C3)OC)OC
108187,C[C@@](CC1=CNC2=CC=CC=C21)(C(=O)NC[C@@H](C3=CC=CC=C3)NC(=O)CCC(=O)O)NC(=O)OC4C5CC6CC(C5)CC4C6
156594042,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)N[C@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
146156889,C[C@]12CCC(C1(C)C)CC2OC(=O)N[C@](C)(CC3=CNC4=CC=CC=C43)C(=O)NCC(C5=CC=CC=C5)NC(=O)CCC(=O)O
92211238,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)N[C@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O
71433910,CC1(C2CCC1(C(C2)OC(=O)N[C@@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O)C)C
44385784,CC1(C2CCC1(C(C2)OC(=O)N[C@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O)C)C
21029444,CC1(C2CCC1(C(C2)OC(=O)NC(C)(CC3=CNC4=CC=CC=C43)C(=O)NCC(C5=CC=CC=C5)NC(=O)CCC(=O)O)C)C
71987,COC1=CC2=C(C=C1)NC=C2C(CN)C(=O)OC
71986,COC1=CC2=C(C=C1)NC=C2C(CN)C(=O)OC.Cl
9966051,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
56843850,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Br
9826391,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@H]3CC4=C(C=CC=C4OC)OC3.Cl
202484,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]3CC4=C(C=CC=C4OC)OC3.Cl
178132,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@H]3CC4=C(C=CC=C4OC)OC3
123700,CCOC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC=C3OCC4=CC=CC=C4
122119,C[C@]12CC[C@H](C1(C)C)CC2OC(=O)N[C@](C)(CC3CNC4=CC=CC=C34)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O
121851,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C3CC4=C(C=CC=C4OC)OC3.Cl
65914,CC(C)OC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC(=C3)OCC4=CC=CC=C4
40903,CN1CCN(CC1)C(=O)OC2C3=C(C(=O)N2C4=NC5=C(C=C4)C=CC(=N5)Cl)SCCS3
76958276,C[C@@H](C1=CC(=CC2=CC=CC=C21)Cl)N(C)C(=O)CC3(CCN(CC3)C)C4=CC=C(C=C4)F
54682505,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O
18687754,C1=CC2=C(C=C1OCC(F)(F)F)OC3=C(S2(=O)=O)C=CC(=C3)F
13519970,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
11277418,C1CCN(CC1)C2=NC(=O)N(C2)C3=CC=C(C=C3)Cl
9869458,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC3=CC=C(C=C3)O
9862937,CCOC1=CC2=C(C=C1)N=C(N2)SCCN3CCOCC3
6917853,CN1CCN(CC1)/C=C\2/C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)[N+](=O)[O-])C5=CC=CC=C5Cl.CS(=O)(=O)O
5311023,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC3=CC=C(C=C3)O
3080646,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O.[Br-]
3033860,CN1CCN(CC1)/C=C\2/C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)[N+](=O)[O-])C5=CC=CC=C5Cl
444008,C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C#C)O
219095,CC(C)OC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC=C3OC4=CC=C(C=C4)Cl
122118,C[C@]12CC[C@H](C1(C)C)CC2OC(=O)N[C@](C)(CC3CNC4=CC=CC=C34)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
107950,CC1=NN=C2N1N=C(C=C2)C3=CC(=CC=C3)C(F)(F)F
