Compound_CID,SMILES
216456,C1=CC=NC(=C1)C(=O)C2=C3N=CC=C(N3N=C2)C4=CC=NC=C4
167305,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)[O-].[OH-].[K+].[K+]
122282,CN1C2C(N(C1=O)C)N(C(=O)N2C)C
94532,CCN(C)[C@@H](C)[C@@H](C1=CC=CC=C1)O
88747,C1CN(CCN1)C2=NC=CC=N2
31640,C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3)CC(F)(F)F
28425,CNCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
10376,COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2
9417,C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO
5502,CCC1C(=NN=C(C2=CC(=C(C=C12)OC)OC)C3=CC(=C(C=C3)OC)OC)C
4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
4177,CC1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl
2809,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
1615,CC(CC1=CC2=C(C=C1)OCO2)NC
12207008,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3.Cl
119590,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(C3=CC=CC=C3)OCCN(C)C
37632,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
4041,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
16682734,C1=CC=C2C(=C1)C(=O)O[Bi]O2.O
3675,C1=CC=C(C=C1)CCNN
2707,C(C(Cl)(Cl)Cl)(O)O
2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
2130,C1C2CC3CC1CC(C2)(C3)N
91885457,C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@@H]([C@H]1N)C2=CC=CC=C2.OS(=O)(=O)O
25267092,C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@H]([C@@H]1N)C2=CC=CC=C2.OS(=O)(=O)O
23724784,C1[C@H](C1C2=CC=CC=C2)N.C1[C@H](C1C2=CC=CC=C2)N.OS(=O)(=O)O
11473982,C1[C@@H]([C@H]1N)C2=CC=CC=C2.C1[C@@H]([C@H]1N)C2=CC=CC=C2.OS(=O)(=O)O
5486971,CC(C)C[C@@H](CC(=O)O)CN
4715169,CC(C)CC(CC(=O)O)CN
68888,CC(C)(C)C(=O)NCCCC(=O)O
19493,C1[C@H]([C@@H]1N)C2=CC=CC=C2
9287,CC(CC1=CNC2=CC=CC=C21)N
6305,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
5530,C1C(C1N)C2=CC=CC=C2
4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
199,C(CCN=C(N)N)CN
68617,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
892,C1(C(C(C(C(C1O)O)O)O)O)O
11954319,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C.Cl
21772,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C
