cid,SMILES,value
6211,C1C(=O)NC(=O)NC1=O,0
6288,C[C@H]([C@@H](C(=O)O)N)O,0
6294,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,0
6301,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,1
6319,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,0
6456,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)Cl,0
6479,CC1(C(=O)N(C(=O)N1Br)Br)C,0
6514,C(CS)C(=O)O,0
6525,C#CC1(CCCCC1)O,0
6545,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0
6618,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,1
6627,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,0
6634,C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl,0
6635,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,0
6636,C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl,0
6643,CCC(C)(C)C1=CC=C(C=C1)O,1
6673,C1C2C3CC4C(C3C1C5C2O5)O4,0
6678,C1=CC2=C3C(=CC=C4C3=C1C(=O)OC4=O)C(=O)OC2=O,0
6709,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)Cl,0
6720,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],0
6737,C1=CC(=C(C(=C1)Cl)C=O)Cl,0
6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,1
6809,C1=CC=C2C(=C1)C(=O)NC2=O,0
6811,C1=CC=C2C(=C1)C(=O)OC2=O,0
6829,C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],0
6837,C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2,0
6838,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,0
6849,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],0
6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
6883,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],0
6904,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0
6921,C1=CC=C(C(=C1)C(F)(F)F)Cl,0
6945,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0
6946,C1=CC=C(C(=C1)N)[N+](=O)[O-],0
6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,1
6996,C1=CC=C(C(=C1)C=O)Cl,0
7003,C1=CC=C2C(=C1)C=CC=C2Cl,0
7015,C1=CC=C(C=C1)C2=CC=CC=C2N,0
7020,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,0
7042,C1=CC=C(C(=C1)C#N)C#N,0
7045,C1=CC=C2C(=C1)N=CC=N2,0
7047,C1=CC=C2C(=C1)C=CC=N2,0
7054,C1=CC=C2C(=C1)C(=O)C(=O)N2,0
7064,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,0
7101,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,0
7102,C1=CC=C(C=C1)C2=CC=C(C=C2)N,0
7172,CNCC(C1=CC=C(C=C1)O)O,0
7220,C1=CC2=NNN=C2C=C1,0
7222,C1=CC=C2C(=C1)N=CS2,0
7240,C1=CC=C(C(=C1)N)Cl,0
7271,C1=C(C(=CC(=C1Cl)Cl)Cl)O,1
7281,C(C(CBr)Br)O,0
7291,C(C(CS)O)O,0
7308,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,1
7346,CC(C)C(=O)OC(=O)C(C)C,0
7362,C1=COC(=C1)C=O,0
7367,C1=CC=C(C=C1)C(Cl)(Cl)Cl,0
7368,C1=CC=C(C=C1)C(F)(F)F,0
7369,C1=CC=C(C=C1)S(=O)(=O)Cl,0
7394,C1=CC(=CC=C1C(F)(F)F)Cl,0
7411,C1=CC=C(C=C1)C(Cl)Cl,0
