Gene,Sample1,Sample2,Sample3
6.7615,6.7615,7.3036,202148_s_at
10.5564,10.5564,9.5552,202153_s_at
11.2496,11.2496,10.0107,202174_s_at
9.2072,9.2072,9.3266,202179_at
6.4988,6.4988,6.0158,202180_s_at
8.4986,8.4986,8.71,202184_s_at
7.6032,7.6032,7.8261,202185_at
8.2141,8.2141,8.3623,202187_s_at
8.8976,8.8976,9.2274,202188_at
9.4312,9.4312,8.7144,202220_at
10.4729,10.4729,10.861,202230_s_at
8.0548,8.0548,9.7983,202241_at
5.4422,5.4422,5.945,202260_s_at
6.8844,6.8844,7.5968,202261_at
11.4793,11.4793,11.9575,202282_at
9.9185,9.9185,10.8713,202284_s_at
9.6438,9.6438,8.8835,202318_s_at
9.3414,9.3414,9.7701,202324_s_at
8.9336,8.9336,9.2658,202329_at
7.3758,7.3758,8.4205,202349_at
8.5436,8.5436,7.8241,202371_at
5.7918,5.7918,5.4313,202382_s_at
12.6258,12.6258,14.685,202388_at
6.7315,6.7315,7.306,202394_s_at
9.1074,9.1074,8.986,202396_at
12.9216,12.9216,13.7565,202413_s_at
6.2326,6.2326,6.6063,202417_at
10.7884,10.7884,10.2936,202423_at
11.0591,11.0591,11.7013,202427_s_at
7.8001,7.8001,7.4166,202431_s_at
8.6743,8.6743,9.6397,202433_at
9.6388,9.6388,8.2118,202446_s_at
9.3803,9.3803,9.7974,202447_at
4.3171,4.3171,4.54,202458_at
12.3962,12.3962,11.1068,202466_at
10.5693,10.5693,10.0762,202468_s_at
7.8317,7.8317,8.1353,202491_s_at
6.9814,6.9814,7.225,202494_at
8.0483,8.0483,6.9214,202500_at
10.0136,10.0136,10.8758,202518_at
6.1959,6.1959,6.9814,202528_at
5.8155,5.8155,6.0576,202540_s_at
6.7515,6.7515,6.4952,202545_at
8.3623,8.3623,8.425,202550_s_at
7.8966,7.8966,7.9994,202598_at
11.8035,11.8035,8.8994,202599_s_at
9.8494,9.8494,10.225,202602_s_at
6.7709,6.7709,6.0718,202604_x_at
9.8393,9.8393,9.9327,202623_at
6.7948,6.7948,5.4493,202630_at
10.3935,10.3935,10.2903,202633_at
7.2069,7.2069,7.7102,202635_s_at
8.4846,8.4846,8.5744,202651_at
8.9134,8.9134,8.8625,202675_at
10.0185,10.0185,10.6598,202678_at
7.1844,7.1844,6.4571,202679_at
8.1199,8.1199,8.2154,202680_at
8.9728,8.9728,8.8899,202683_s_at
8.4001,8.4001,8.6386,202689_at
7.9416,7.9416,8.7499,202696_at
8.7045,8.7045,8.6642,202703_at
11.0031,11.0031,11.2531,202705_at
9.1209,9.1209,8.8487,202708_s_at
9.0112,9.0112,9.8943,202716_at
7.2883,7.2883,8.2527,202720_at
7.8289,7.8289,7.8471,202722_s_at
10.2403,10.2403,10.7197,202726_at
9.2207,9.2207,9.0069,202732_at
8.7199,8.7199,8.6107,202733_at
9.1952,9.1952,9.3665,202735_at
8.1423,8.1423,8.715,202738_s_at
8.1596,8.1596,8.6807,202749_at
4.6978,4.6978,4.516,202756_s_at
7.9532,7.9532,8.5324,202761_s_at
7.1505,7.1505,7.0123,202763_at
10.8758,10.8758,10.7211,202776_at
10.1693,10.1693,9.0717,202778_s_at
9.2282,9.2282,10.2206,202780_at
8.5026,8.5026,9.997,202784_s_at
8.0919,8.0919,9.2355,202788_at
6.8033,6.8033,7.1147,202794_at
8.423,8.423,7.5702,202797_at
7.0584,7.0584,6.8309,202801_at
9.0353,9.0353,7.2649,202809_s_at
7.379,7.379,7.8848,202811_at
7.5638,7.5638,7.6563,202812_at
8.8695,8.8695,7.3106,202813_at
7.1134,7.1134,7.5368,202825_at
5.9195,5.9195,6.9834,202830_s_at
7.4285,7.4285,7.8451,202847_at
11.5894,11.5894,12.381,202854_at
6.6853,6.6853,6.2746,202862_at
8.6844,8.6844,9.633,202868_s_at
9.6854,9.6854,9.6812,202880_s_at
11.7827,11.7827,12.1616,202887_s_at
4.7989,4.7989,5.0783,202889_x_at
7.0081,7.0081,6.886,202891_at
11.3972,11.3972,10.1725,202900_s_at
8.4411,8.4411,6.6381,202908_at
9.1806,9.1806,6.7308,202910_s_at
11.7989,11.7989,12.0888,202911_at
6.541,6.541,5.7898,202916_s_at
8.697,8.697,7.8701,202927_at
9.3097,9.3097,9.7296,202942_at
9.406,9.406,9.4112,202945_at
4.3539,4.3539,4.3749,202949_s_at
7.1326,7.1326,7.6801,202950_at
